team,match_id,from_stage,to_stage,into_knockout,rest_days,confederation,interval_label
Sweden,33,Group stage,Group stage,False,6,UEFA,Before a group match
Sweden,35,Group stage,Group stage,False,5,UEFA,Before a group match
Sweden,77,Group stage,Round of 32,True,5,UEFA,Before a knockout match
Switzerland,9,Group stage,Group stage,False,5,UEFA,Before a group match
Switzerland,11,Group stage,Group stage,False,6,UEFA,Before a group match
Switzerland,85,Group stage,Round of 32,True,8,UEFA,Before a knockout match
Switzerland,96,Round of 32,Round of 16,True,5,UEFA,Before a knockout match
Switzerland,100,Round of 16,Quarter-final,True,4,UEFA,Before a knockout match
Tunisia,34,Group stage,Group stage,False,6,CAF,Before a group match
Tunisia,36,Group stage,Group stage,False,5,CAF,Before a group match
Turkey,22,Group stage,Group stage,False,6,UEFA,Before a group match
Turkey,23,Group stage,Group stage,False,6,UEFA,Before a group match
United States,21,Group stage,Group stage,False,7,CONCACAF,Before a group match
United States,23,Group stage,Group stage,False,6,CONCACAF,Before a group match
United States,81,Group stage,Round of 32,True,6,CONCACAF,Before a knockout match
United States,94,Round of 32,Round of 16,True,5,CONCACAF,Before a knockout match
Uruguay,46,Group stage,Group stage,False,6,CONMEBOL,Before a group match
Uruguay,48,Group stage,Group stage,False,5,CONMEBOL,Before a group match
Uzbekistan,63,Group stage,Group stage,False,6,AFC,Before a group match
Uzbekistan,66,Group stage,Group stage,False,4,AFC,Before a group match
